sym,first,last_tiny_day,usable_from,sessions_all,sessions_lost,lost_pct
B,2010-01-04,2017-10-24,2017-10-25,4017,1896,0.4719940253920836
NI,2015-04-02,2022-03-10,2022-03-11,2747,1690,0.6152165999271934
PB,2011-03-30,2014-07-21,2014-07-22,3719,803,0.21591825759612798
SF,2014-08-14,2017-09-22,2017-09-25,2899,761,0.2625043118316661
TS,2018-08-23,2021-02-26,2021-03-01,1916,608,0.3173277661795407
SM,2014-08-14,2016-07-18,2016-07-19,2899,470,0.16212487064505002
CY,2017-08-24,2019-05-13,2019-05-14,2160,415,0.19212962962962962
BU,2013-10-15,2015-01-07,2015-01-08,3106,304,0.0978750804893754
SN,2015-04-02,2015-09-17,2015-09-18,2747,116,0.042227884965416816
