clearing_day,market,product,contract,bars,sum_vol,min_bt,max_bt,n_ohlc_nonpos,n_vol0_val,n_val0_vol,trading_day,pkl_bars,pkl_vol,_merge,d_bars
20130902,XSGE,AL,AL1312,226.0,8650.0,09:00,15:00,0.0,0.0,0.0,20130902,287.0,8650.0,both,61.0
20130902,XSGE,CU,CU1312,226.0,208740.0,09:00,15:00,0.0,0.0,0.0,20130902,287.0,208740.0,both,61.0
20130902,XSGE,PB,PB1310,226.0,245.0,09:00,15:00,0.0,0.0,0.0,20130902,287.0,245.0,both,61.0
20130902,XSGE,ZN,ZN1312,226.0,34824.0,09:00,15:00,0.0,0.0,0.0,20130902,287.0,34824.0,both,61.0
20131202,XSGE,AL,AL1402,226.0,3043.0,09:00,15:00,0.0,0.0,0.0,20131202,287.0,3043.0,both,61.0
20131202,XSGE,CU,CU1402,226.0,103182.0,09:00,15:00,0.0,0.0,0.0,20131202,287.0,103182.0,both,61.0
20131202,XSGE,PB,PB1401,226.0,507.0,09:00,15:00,0.0,0.0,0.0,20131202,287.0,507.0,both,61.0
20131202,XSGE,ZN,ZN1402,226.0,9005.0,09:00,15:00,0.0,0.0,0.0,20131202,287.0,9005.0,both,61.0
20220901,XDCE,M,M2301,159.0,51573012.0,09:01,23:00,1.0,0.0,0.0,20220901,346.0,600741.0,both,187.0
20221107,XDCE,RR,RR2301,346.0,5530.0,09:01,23:00,0.0,0.0,0.0,20221107,345.0,5530.0,both,-1.0
20230103,XDCE,A,A2305,346.0,104989.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,104989.0,both,346.0
20230103,XSGE,AG,AG2306,556.0,201111.0,00:00,23:59,0.0,0.0,0.0,20230103,1112.0,201111.0,both,556.0
20230103,XSGE,AL,AL2302,466.0,202915.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,202915.0,both,466.0
20230103,XSGE,AU,AU2304,556.0,58029.0,00:00,23:59,0.0,0.0,0.0,20230103,1112.0,58029.0,both,556.0
20230103,XDCE,B,B2302,346.0,35563.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,35563.0,both,346.0
20230103,XSIE,BC,BC2303,466.0,6903.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,6903.0,both,466.0
20230103,XSGE,BU,BU2306,346.0,230385.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,230385.0,both,346.0
20230103,XDCE,C,C2303,346.0,301325.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,301325.0,both,346.0
20230103,XZCE,CF,CF2305,346.0,542465.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,542465.0,both,346.0
20230103,XDCE,CS,CS2303,346.0,107873.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,107873.0,both,346.0
20230103,XSGE,CU,CU2303,466.0,36213.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,36213.0,both,466.0
20230103,XZCE,CY,CY2305,346.0,1783.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,1783.0,both,346.0
20230103,XDCE,EB,EB2302,346.0,144051.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,144051.0,both,346.0
20230103,XDCE,EG,EG2305,346.0,329046.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,329046.0,both,346.0
20230103,XZCE,FG,FG2305,346.0,794206.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,794206.0,both,346.0
20230103,XSGE,FU,FU2305,346.0,877606.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,877606.0,both,346.0
20230103,XSGE,HC,HC2305,346.0,343669.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,343669.0,both,346.0
