clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20161102,XDCE,J,J1709,20161101,21:03,5,0,1519.5,0,1519.5,1,151950,1519.5,大商所,2016
20161102,XDCE,JM,JM1709,20161101,21:07,5,0,1088.0,0,1088.0,2,130560,1088.0,大商所,2016
20161103,XDCE,JM,JM1709,20161102,21:08,5,0,1087.5,0,1087.5,2,130500,1087.5,大商所,2016
20161110,XDCE,JM,JM1709,20161109,21:04,5,0,1324.0,0,1324.0,1,79440,1324.0,大商所,2016
20161111,XDCE,J,J1709,20161110,21:10,5,0,1783.0,0,1783.0,2,356600,1783.0,大商所,2016
20161115,XDCE,J,J1709,20161114,21:04,5,0,1830.0,0,1830.0,1,183000,1830.0,大商所,2016
20161115,XDCE,JM,JM1709,20161114,21:08,5,0,1436.0,0,1428.5,2,171870,1432.25,大商所,2016
20161209,XDCE,A,A1709,20161208,21:02,5,0,4204.0,0,4204.0,1,42040,4204.0,大商所,2016
20161212,XDCE,A,A1709,20161209,21:05,5,0,4191.0,0,4191.0,1,41910,4191.0,大商所,2016
20170105,XDCE,A,A1709,20170104,21:01,5,0,4209.0,0,4209.0,4,168340,4208.5,大商所,2017
20170112,XDCE,Y,Y1701,20170112,10:34,5,0,6870.0,0,6870.0,10,686860,6868.6,大商所,2017
20170118,XDCE,JM,JM1801,20170117,21:16,5,0,1048.0,0,1048.0,1,62880,1048.0,大商所,2017
20170118,XDCE,Y,Y1801,20170117,21:08,5,0,7168.0,0,7168.0,9,645600,7173.33,大商所,2017
20170124,XDCE,Y,Y1801,20170123,21:07,5,0,7146.0,0,7146.0,30,2142940,7143.13,大商所,2017
20170125,XDCE,V,V1801,20170125,09:59,5,0,6500.0,0,6500.0,2,64975,6497.5,大商所,2017
20170210,XDCE,PP,PP1801,20170210,09:15,5,0,9206.0,0,9206.0,1,46030,9206.0,大商所,2017
20170215,XDCE,CS,CS1801,20170215,09:01,5,0,2033.0,0,2031.0,41,832990,2031.68,大商所,2017
20170302,XDCE,J,J1801,20170301,21:06,5,0,1699.0,0,1699.0,1,169900,1699.0,大商所,2017
20170302,XDCE,V,V1801,20170302,09:01,5,0,6515.0,0,6515.0,2,65050,6505.0,大商所,2017
20170307,XDCE,V,V1801,20170307,09:07,5,0,6750.0,0,6750.0,6,202500,6750.0,大商所,2017
20170314,XDCE,PP,PP1801,20170314,09:02,5,0,8417.0,0,8417.0,1,42085,8417.0,大商所,2017
20170314,XDCE,V,V1801,20170314,09:09,5,0,6485.0,0,6485.0,2,64825,6482.5,大商所,2017
20170315,XDCE,J,J1801,20170314,21:12,5,0,1668.0,0,1668.0,2,333650,1668.25,大商所,2017
