clearing_day,market,market_cn,product,contract,pre_bt,pre_vol,pre_close,pad_bt,pad_close,day0_bt,day0_open,day0_vol,dev_to_day_open,dev_to_padding,closer_to
20230103,XSGE,上期所,AG,AG2302,02:30,496,5372.0,02:29,5363.0,09:01,5368.0,6744,0.0007451564828614009,0.0016781652060413948,当日日盘开盘价
20230103,XSGE,上期所,AG,AG2303,02:30,2260,5378.0,02:29,5373.0,09:01,5378.0,1854,0.0,0.0009305788200260562,当日日盘开盘价
20230103,XSGE,上期所,AG,AG2304,02:30,4,5392.0,02:29,5380.0,09:01,5383.0,455,0.0016719301504737136,0.0022304832713754648,当日日盘开盘价
20230103,XSGE,上期所,AG,AG2305,02:30,3,5398.0,02:29,5387.0,09:01,5398.0,320,0.0,0.0020419528494523853,当日日盘开盘价
20230103,XSGE,上期所,AG,AG2306,02:30,715,5397.0,02:29,5397.0,09:01,5401.0,4630,0.0007406035919274209,0.0,padding价(前收盘)
20230103,XSGE,上期所,AL,AL2301,01:00,235,18710.0,00:59,18725.0,09:01,18710.0,170,0.0,0.0008010680907877169,当日日盘开盘价
20230103,XSGE,上期所,AL,AL2302,01:00,259,18660.0,00:59,18700.0,09:01,18670.0,7730,0.0005356186395286556,0.0021390374331550803,当日日盘开盘价
20230103,XSGE,上期所,AL,AL2303,01:00,21,18600.0,00:59,18660.0,09:01,18610.0,2742,0.0005373455131649651,0.003215434083601286,当日日盘开盘价
20230103,XSGE,上期所,AL,AL2305,01:00,1,18615.0,00:59,18635.0,09:01,18615.0,271,0.0,0.0010732492621411322,当日日盘开盘价
20230103,XSGE,上期所,AU,AU2302,02:30,53,410.48,02:29,410.72,09:01,410.6,982,0.0002922552362396604,0.0005843396961433802,当日日盘开盘价
20230103,XSGE,上期所,AU,AU2304,02:30,53,412.0,02:29,411.46,09:01,412.06,1216,0.00014560986264136843,0.00131239974724158,当日日盘开盘价
20230103,XSGE,上期所,AU,AU2306,02:30,5,412.68,02:29,411.82,09:01,412.78,376,0.0002422597994088035,0.0020882910009227666,当日日盘开盘价
20230103,XSGE,上期所,CU,CU2301,01:00,5,66340.0,00:59,66350.0,09:01,66340.0,110,0.0,0.00015071590052750564,当日日盘开盘价
20230103,XSGE,上期所,CU,CU2302,01:00,224,66160.0,00:59,66260.0,09:01,66240.0,2152,0.0012077294685990338,0.001509206157561123,当日日盘开盘价
20230103,XSGE,上期所,CU,CU2303,01:00,582,66200.0,00:59,66260.0,09:01,66220.0,1305,0.0003020235578375113,0.0009055236945366737,当日日盘开盘价
20230103,XSGE,上期所,CU,CU2304,01:00,18,66240.0,00:59,66240.0,09:01,66240.0,107,0.0,0.0,padding价(前收盘)
20230103,XSGE,上期所,NI,NI2301,01:00,72,235100.0,00:59,235100.0,09:01,235100.0,24,0.0,0.0,padding价(前收盘)
20230103,XSGE,上期所,NI,NI2302,01:00,684,229800.0,00:59,232000.0,09:01,229800.0,4455,0.0,0.009482758620689655,当日日盘开盘价
20230103,XSGE,上期所,NI,NI2303,01:00,58,227550.0,00:59,228900.0,09:01,227070.0,1211,0.002113885585942661,0.005897771952817824,当日日盘开盘价
20230103,XSGE,上期所,NI,NI2304,01:00,503,226600.0,00:59,225600.0,09:01,224100.0,81,0.011155734047300312,0.004432624113475178,padding价(前收盘)
20230103,XSGE,上期所,NI,NI2305,01:00,502,223980.0,00:59,222450.0,09:01,220130.0,81,0.01748966519783764,0.006877950101146325,padding价(前收盘)
20230103,XSGE,上期所,PB,PB2301,01:00,615,15835.0,00:59,15810.0,09:01,15835.0,50,0.0,0.0015812776723592662,当日日盘开盘价
20230103,XSGE,上期所,PB,PB2302,01:00,285,16050.0,00:59,15925.0,09:01,16015.0,3933,0.0021854511395566654,0.007849293563579277,当日日盘开盘价
20230103,XSGE,上期所,PB,PB2303,01:00,11,15975.0,00:59,15935.0,09:01,16000.0,1950,0.0015625,0.0025101976780671476,当日日盘开盘价
20230103,XSGE,上期所,PB,PB2304,01:00,2,15970.0,00:59,15950.0,09:01,15970.0,207,0.0,0.0012539184952978057,当日日盘开盘价
